DELAY,ERROR COUNT,Wed Apr 12 14:39:27 2017
0001,00,Wed Apr 12 14:39:29 2017
0001,00,Wed Apr 12 14:39:33 2017
0001,00,Wed Apr 12 14:39:37 2017
0001,00,Wed Apr 12 14:39:41 2017
0001,00,Wed Apr 12 14:39:46 2017
0000,00,Wed Apr 12 14:39:50 2017
0001,00,Wed Apr 12 14:39:54 2017
0001,00,Wed Apr 12 14:39:58 2017
0000,00,Wed Apr 12 14:40:03 2017
0000,00,Wed Apr 12 14:40:07 2017
0000,00,Wed Apr 12 14:40:11 2017
0000,00,Wed Apr 12 14:40:16 2017
0000,00,Wed Apr 12 14:40:20 2017
0000,00,Wed Apr 12 14:40:24 2017
0001,00,Wed Apr 12 14:40:28 2017
0000,00,Wed Apr 12 14:40:33 2017
0001,00,Wed Apr 12 14:40:37 2017
0001,00,Wed Apr 12 14:40:41 2017
0001,00,Wed Apr 12 14:40:45 2017
0000,00,Wed Apr 12 14:40:50 2017
0000,00,Wed Apr 12 14:40:54 2017
0000,00,Wed Apr 12 14:40:58 2017
0001,00,Wed Apr 12 14:41:02 2017
0001,00,Wed Apr 12 14:41:07 2017
0001,00,Wed Apr 12 14:41:11 2017
0001,00,Wed Apr 12 14:41:15 2017
0001,00,Wed Apr 12 14:41:20 2017
0000,00,Wed Apr 12 14:41:24 2017
0000,00,Wed Apr 12 14:41:28 2017
0000,00,Wed Apr 12 14:41:32 2017
0000,00,Wed Apr 12 14:41:37 2017
0001,00,Wed Apr 12 14:41:41 2017
0000,00,Wed Apr 12 14:41:45 2017
0001,00,Wed Apr 12 14:41:49 2017
0000,00,Wed Apr 12 14:41:54 2017
0001,00,Wed Apr 12 14:41:58 2017
0001,00,Wed Apr 12 14:42:02 2017
0001,00,Wed Apr 12 14:42:06 2017
0001,00,Wed Apr 12 14:42:11 2017
0001,00,Wed Apr 12 14:42:15 2017
0000,00,Wed Apr 12 14:42:19 2017
0001,00,Wed Apr 12 14:42:24 2017
0001,00,Wed Apr 12 14:42:28 2017
0000,00,Wed Apr 12 14:42:32 2017
0001,00,Wed Apr 12 14:42:36 2017
0000,00,Wed Apr 12 14:42:41 2017
0001,00,Wed Apr 12 14:42:45 2017
0001,00,Wed Apr 12 14:42:49 2017
0001,00,Wed Apr 12 14:42:53 2017
0001,00,Wed Apr 12 14:42:58 2017
0000,00,Wed Apr 12 14:43:02 2017
0000,00,Wed Apr 12 14:43:06 2017
0001,00,Wed Apr 12 14:43:10 2017
0000,00,Wed Apr 12 14:43:15 2017
0001,00,Wed Apr 12 14:43:19 2017
0000,00,Wed Apr 12 14:43:23 2017
0001,00,Wed Apr 12 14:43:28 2017
0000,00,Wed Apr 12 14:43:32 2017
0000,00,Wed Apr 12 14:43:36 2017
0001,00,Wed Apr 12 14:43:40 2017
0001,00,Wed Apr 12 14:43:45 2017
0000,00,Wed Apr 12 14:43:49 2017
0001,00,Wed Apr 12 14:43:53 2017
0001,00,Wed Apr 12 14:43:57 2017
0000,00,Wed Apr 12 14:44:02 2017
0001,00,Wed Apr 12 14:44:06 2017
0001,00,Wed Apr 12 14:44:10 2017
0001,00,Wed Apr 12 14:44:14 2017
0001,00,Wed Apr 12 14:44:19 2017
0001,00,Wed Apr 12 14:44:23 2017
0000,00,Wed Apr 12 14:44:27 2017
0000,00,Wed Apr 12 14:44:32 2017
0001,00,Wed Apr 12 14:44:36 2017
0001,00,Wed Apr 12 14:44:40 2017
0000,00,Wed Apr 12 14:44:44 2017
0000,00,Wed Apr 12 14:44:49 2017
0001,00,Wed Apr 12 14:44:53 2017
0000,00,Wed Apr 12 14:44:57 2017
0001,00,Wed Apr 12 14:45:01 2017
0000,00,Wed Apr 12 14:45:06 2017
0001,00,Wed Apr 12 14:45:10 2017
0000,00,Wed Apr 12 14:45:14 2017
0001,00,Wed Apr 12 14:45:18 2017
0001,00,Wed Apr 12 14:45:23 2017
0000,00,Wed Apr 12 14:45:27 2017
0001,00,Wed Apr 12 14:45:31 2017
0001,00,Wed Apr 12 14:45:36 2017
0001,00,Wed Apr 12 14:45:40 2017
0000,00,Wed Apr 12 14:45:44 2017
0001,00,Wed Apr 12 14:45:48 2017
0001,00,Wed Apr 12 14:45:53 2017
0001,00,Wed Apr 12 14:45:57 2017
0001,00,Wed Apr 12 14:46:01 2017
0000,00,Wed Apr 12 14:46:05 2017
0001,00,Wed Apr 12 14:46:10 2017
0000,00,Wed Apr 12 14:46:14 2017
0001,00,Wed Apr 12 14:46:18 2017
0001,00,Wed Apr 12 14:46:22 2017
0000,00,Wed Apr 12 14:46:27 2017
0001,00,Wed Apr 12 14:46:31 2017
0001,00,Wed Apr 12 14:46:35 2017
0001,00,Wed Apr 12 14:46:40 2017
0001,00,Wed Apr 12 14:46:44 2017
0001,00,Wed Apr 12 14:46:48 2017
0001,00,Wed Apr 12 14:46:52 2017
0000,00,Wed Apr 12 14:46:57 2017
0001,00,Wed Apr 12 14:47:01 2017
0001,00,Wed Apr 12 14:47:05 2017
0000,00,Wed Apr 12 14:47:09 2017
0000,00,Wed Apr 12 14:47:14 2017
0001,00,Wed Apr 12 14:47:18 2017
0001,00,Wed Apr 12 14:47:22 2017
0001,00,Wed Apr 12 14:47:26 2017
0001,00,Wed Apr 12 14:47:31 2017
0000,00,Wed Apr 12 14:47:35 2017
0000,00,Wed Apr 12 14:47:39 2017
0001,00,Wed Apr 12 14:47:44 2017
0000,00,Wed Apr 12 14:47:48 2017
0001,00,Wed Apr 12 14:47:52 2017
0000,00,Wed Apr 12 14:47:56 2017
0001,00,Wed Apr 12 14:48:01 2017
0001,00,Wed Apr 12 14:48:05 2017
0000,00,Wed Apr 12 14:48:09 2017
0000,00,Wed Apr 12 14:48:13 2017
0000,00,Wed Apr 12 14:48:18 2017
0001,00,Wed Apr 12 14:48:22 2017
0001,00,Wed Apr 12 14:48:26 2017
0000,00,Wed Apr 12 14:48:30 2017
0001,00,Wed Apr 12 14:48:35 2017
0001,00,Wed Apr 12 14:48:39 2017
0000,00,Wed Apr 12 14:48:43 2017
0000,00,Wed Apr 12 14:48:48 2017
0001,00,Wed Apr 12 14:48:52 2017
0001,00,Wed Apr 12 14:48:56 2017
0001,00,Wed Apr 12 14:49:00 2017
0001,00,Wed Apr 12 14:49:05 2017
0001,00,Wed Apr 12 14:49:09 2017
0001,00,Wed Apr 12 14:49:13 2017
0001,00,Wed Apr 12 14:49:17 2017
0001,00,Wed Apr 12 14:49:22 2017
0001,00,Wed Apr 12 14:49:26 2017
0001,00,Wed Apr 12 14:49:30 2017
0001,00,Wed Apr 12 14:49:34 2017
0001,00,Wed Apr 12 14:49:39 2017
0000,00,Wed Apr 12 14:49:43 2017
0001,00,Wed Apr 12 14:49:47 2017
0001,00,Wed Apr 12 14:49:52 2017
0001,00,Wed Apr 12 14:49:56 2017
0000,00,Wed Apr 12 14:50:00 2017
0001,00,Wed Apr 12 14:50:04 2017
0001,00,Wed Apr 12 14:50:09 2017
0001,00,Wed Apr 12 14:50:13 2017
0001,00,Wed Apr 12 14:50:17 2017
0001,00,Wed Apr 12 14:50:21 2017
0001,00,Wed Apr 12 14:50:26 2017
0000,00,Wed Apr 12 14:50:30 2017
0000,00,Wed Apr 12 14:50:34 2017
0000,00,Wed Apr 12 14:50:38 2017
0001,00,Wed Apr 12 14:50:43 2017
0000,00,Wed Apr 12 14:50:47 2017
0000,00,Wed Apr 12 14:50:51 2017
0001,00,Wed Apr 12 14:50:56 2017
0001,00,Wed Apr 12 14:51:00 2017
0001,00,Wed Apr 12 14:51:04 2017
0001,00,Wed Apr 12 14:51:08 2017
0001,00,Wed Apr 12 14:51:13 2017
0001,00,Wed Apr 12 14:51:17 2017
0000,00,Wed Apr 12 14:51:21 2017
0000,00,Wed Apr 12 14:51:25 2017
0000,00,Wed Apr 12 14:51:30 2017
0001,00,Wed Apr 12 14:51:34 2017
0001,00,Wed Apr 12 14:51:38 2017
0000,00,Wed Apr 12 14:51:42 2017
0000,00,Wed Apr 12 14:51:47 2017
0001,00,Wed Apr 12 14:51:51 2017
0001,00,Wed Apr 12 14:51:55 2017
0000,00,Wed Apr 12 14:52:00 2017
0001,00,Wed Apr 12 14:52:04 2017
0000,00,Wed Apr 12 14:52:08 2017
0001,00,Wed Apr 12 14:52:12 2017
0001,00,Wed Apr 12 14:52:17 2017
0001,00,Wed Apr 12 14:52:21 2017
0000,00,Wed Apr 12 14:52:25 2017
0001,00,Wed Apr 12 14:52:29 2017
0001,00,Wed Apr 12 14:52:34 2017
0001,00,Wed Apr 12 14:52:38 2017
0001,00,Wed Apr 12 14:52:42 2017
0000,00,Wed Apr 12 14:52:46 2017
0000,00,Wed Apr 12 14:52:51 2017
0000,00,Wed Apr 12 14:52:55 2017
0001,00,Wed Apr 12 14:52:59 2017
0000,00,Wed Apr 12 14:53:04 2017
0001,00,Wed Apr 12 14:53:08 2017
0000,00,Wed Apr 12 14:53:12 2017
0000,00,Wed Apr 12 14:53:16 2017
0000,00,Wed Apr 12 14:53:21 2017
0001,00,Wed Apr 12 14:53:25 2017
0001,00,Wed Apr 12 14:53:29 2017
0001,00,Wed Apr 12 14:53:33 2017
0001,00,Wed Apr 12 14:53:38 2017
0000,00,Wed Apr 12 14:53:42 2017
0001,00,Wed Apr 12 14:53:46 2017
0000,00,Wed Apr 12 14:53:50 2017
0001,00,Wed Apr 12 14:53:55 2017
0000,00,Wed Apr 12 14:53:59 2017
0001,00,Wed Apr 12 14:54:03 2017
0000,00,Wed Apr 12 14:54:08 2017
0001,00,Wed Apr 12 14:54:12 2017
0000,00,Wed Apr 12 14:54:16 2017
0001,00,Wed Apr 12 14:54:20 2017
0001,00,Wed Apr 12 14:54:25 2017
0001,00,Wed Apr 12 14:54:29 2017
0001,00,Wed Apr 12 14:54:33 2017
0001,00,Wed Apr 12 14:54:37 2017
0000,00,Wed Apr 12 14:54:42 2017
0001,00,Wed Apr 12 14:54:46 2017
0001,00,Wed Apr 12 14:54:50 2017
0000,00,Wed Apr 12 14:54:54 2017
0001,00,Wed Apr 12 14:54:59 2017
0001,00,Wed Apr 12 14:55:03 2017
0001,00,Wed Apr 12 14:55:07 2017
0001,00,Wed Apr 12 14:55:12 2017
0000,00,Wed Apr 12 14:55:16 2017
0001,00,Wed Apr 12 14:55:20 2017
0000,00,Wed Apr 12 14:55:24 2017
0001,00,Wed Apr 12 14:55:29 2017
0001,00,Wed Apr 12 14:55:33 2017
0001,00,Wed Apr 12 14:55:37 2017
0000,00,Wed Apr 12 14:55:41 2017
0000,00,Wed Apr 12 14:55:46 2017
0001,00,Wed Apr 12 14:55:50 2017
0001,00,Wed Apr 12 14:55:54 2017
0001,00,Wed Apr 12 14:55:58 2017
0001,00,Wed Apr 12 14:56:03 2017
0000,00,Wed Apr 12 14:56:07 2017
0001,00,Wed Apr 12 14:56:11 2017
0001,00,Wed Apr 12 14:56:16 2017
0001,00,Wed Apr 12 14:56:20 2017
0001,00,Wed Apr 12 14:56:24 2017
0001,00,Wed Apr 12 14:56:28 2017
0001,00,Wed Apr 12 14:56:33 2017
0001,00,Wed Apr 12 14:56:37 2017
0001,00,Wed Apr 12 14:56:41 2017
0001,00,Wed Apr 12 14:56:45 2017
0001,00,Wed Apr 12 14:56:50 2017
0001,00,Wed Apr 12 14:56:54 2017
0000,00,Wed Apr 12 14:56:58 2017
0001,00,Wed Apr 12 14:57:02 2017
0001,00,Wed Apr 12 14:57:07 2017
0001,00,Wed Apr 12 14:57:11 2017
0001,00,Wed Apr 12 14:57:15 2017
0001,00,Wed Apr 12 14:57:20 2017
0001,00,Wed Apr 12 14:57:24 2017
0000,00,Wed Apr 12 14:57:28 2017
0001,00,Wed Apr 12 14:57:32 2017
0001,00,Wed Apr 12 14:57:37 2017
0000,00,Wed Apr 12 14:57:41 2017
0001,00,Wed Apr 12 14:57:45 2017
0000,00,Wed Apr 12 14:57:49 2017
0001,00,Wed Apr 12 14:57:54 2017
0001,00,Wed Apr 12 14:57:58 2017
0001,00,Wed Apr 12 14:58:02 2017
0000,00,Wed Apr 12 14:58:06 2017
0001,00,Wed Apr 12 14:58:11 2017
0000,00,Wed Apr 12 14:58:15 2017
0001,00,Wed Apr 12 14:58:19 2017
0001,00,Wed Apr 12 14:58:24 2017
0000,00,Wed Apr 12 14:58:28 2017
0001,00,Wed Apr 12 14:58:32 2017
0000,00,Wed Apr 12 14:58:36 2017
0001,00,Wed Apr 12 14:58:41 2017
0000,00,Wed Apr 12 14:58:45 2017
0000,00,Wed Apr 12 14:58:49 2017
0000,00,Wed Apr 12 14:58:53 2017
0001,00,Wed Apr 12 14:58:58 2017
0001,00,Wed Apr 12 14:59:02 2017
0001,00,Wed Apr 12 14:59:06 2017
0000,00,Wed Apr 12 14:59:10 2017
0001,00,Wed Apr 12 14:59:15 2017
0000,00,Wed Apr 12 14:59:19 2017
0001,00,Wed Apr 12 14:59:23 2017
0001,00,Wed Apr 12 14:59:28 2017
0001,00,Wed Apr 12 14:59:32 2017
0000,00,Wed Apr 12 14:59:36 2017
0001,00,Wed Apr 12 14:59:40 2017
0000,00,Wed Apr 12 14:59:45 2017
0001,00,Wed Apr 12 14:59:49 2017
0001,00,Wed Apr 12 14:59:53 2017
0000,00,Wed Apr 12 14:59:57 2017
0001,00,Wed Apr 12 15:00:02 2017
0000,00,Wed Apr 12 15:00:06 2017
0001,00,Wed Apr 12 15:00:10 2017
0000,00,Wed Apr 12 15:00:14 2017
0000,00,Wed Apr 12 15:00:19 2017
0000,00,Wed Apr 12 15:00:23 2017
0001,00,Wed Apr 12 15:00:27 2017
0001,00,Wed Apr 12 15:00:32 2017
0001,00,Wed Apr 12 15:00:36 2017
0001,00,Wed Apr 12 15:00:40 2017
0001,00,Wed Apr 12 15:00:44 2017
0000,00,Wed Apr 12 15:00:49 2017
0001,00,Wed Apr 12 15:00:53 2017
0000,00,Wed Apr 12 15:00:57 2017
0000,00,Wed Apr 12 15:01:01 2017
0001,00,Wed Apr 12 15:01:06 2017
0000,00,Wed Apr 12 15:01:10 2017
0001,00,Wed Apr 12 15:01:14 2017
0000,00,Wed Apr 12 15:01:18 2017
0001,00,Wed Apr 12 15:01:23 2017
0001,00,Wed Apr 12 15:01:27 2017
0000,00,Wed Apr 12 15:01:31 2017
0001,00,Wed Apr 12 15:01:36 2017
0000,00,Wed Apr 12 15:01:40 2017
0001,00,Wed Apr 12 15:01:44 2017
0001,00,Wed Apr 12 15:01:48 2017
0001,00,Wed Apr 12 15:01:53 2017
0001,00,Wed Apr 12 15:01:57 2017
0001,00,Wed Apr 12 15:02:01 2017
0001,00,Wed Apr 12 15:02:05 2017
0001,00,Wed Apr 12 15:02:10 2017
0001,00,Wed Apr 12 15:02:14 2017
0001,00,Wed Apr 12 15:02:18 2017
0001,00,Wed Apr 12 15:02:22 2017
