DELAY,ERROR COUNT,Wed Apr 12 14:39:27 2017
0001,00,Wed Apr 12 15:02:27 2017
0001,00,Wed Apr 12 15:02:31 2017
0000,00,Wed Apr 12 15:02:35 2017
0000,00,Wed Apr 12 15:02:40 2017
0000,00,Wed Apr 12 15:02:44 2017
0000,00,Wed Apr 12 15:02:48 2017
0001,00,Wed Apr 12 15:02:52 2017
0000,00,Wed Apr 12 15:02:57 2017
0001,00,Wed Apr 12 15:03:01 2017
0001,00,Wed Apr 12 15:03:05 2017
0001,00,Wed Apr 12 15:03:09 2017
0000,00,Wed Apr 12 15:03:14 2017
0000,00,Wed Apr 12 15:03:18 2017
0001,00,Wed Apr 12 15:03:22 2017
0001,00,Wed Apr 12 15:03:26 2017
0001,00,Wed Apr 12 15:03:31 2017
0000,00,Wed Apr 12 15:03:35 2017
0001,00,Wed Apr 12 15:03:39 2017
0000,00,Wed Apr 12 15:03:44 2017
0000,00,Wed Apr 12 15:03:48 2017
0001,00,Wed Apr 12 15:03:52 2017
0001,00,Wed Apr 12 15:03:56 2017
0001,00,Wed Apr 12 15:04:01 2017
0001,00,Wed Apr 12 15:04:05 2017
0001,00,Wed Apr 12 15:04:09 2017
0000,00,Wed Apr 12 15:04:13 2017
0000,00,Wed Apr 12 15:04:18 2017
0001,00,Wed Apr 12 15:04:22 2017
0001,00,Wed Apr 12 15:04:26 2017
0000,00,Wed Apr 12 15:04:30 2017
0001,00,Wed Apr 12 15:04:35 2017
0001,00,Wed Apr 12 15:04:39 2017
0000,00,Wed Apr 12 15:04:43 2017
0001,00,Wed Apr 12 15:04:48 2017
0001,00,Wed Apr 12 15:04:52 2017
0001,00,Wed Apr 12 15:04:56 2017
0001,00,Wed Apr 12 15:05:00 2017
0001,00,Wed Apr 12 15:05:05 2017
0000,00,Wed Apr 12 15:05:09 2017
0001,00,Wed Apr 12 15:05:13 2017
0000,00,Wed Apr 12 15:05:17 2017
0001,00,Wed Apr 12 15:05:22 2017
0001,00,Wed Apr 12 15:05:26 2017
0001,00,Wed Apr 12 15:05:30 2017
0000,00,Wed Apr 12 15:05:34 2017
0001,00,Wed Apr 12 15:05:39 2017
0000,00,Wed Apr 12 15:05:43 2017
0000,00,Wed Apr 12 15:05:47 2017
0000,00,Wed Apr 12 15:05:52 2017
0001,00,Wed Apr 12 15:05:56 2017
0001,00,Wed Apr 12 15:06:00 2017
0001,00,Wed Apr 12 15:06:04 2017
0000,00,Wed Apr 12 15:06:09 2017
0001,00,Wed Apr 12 15:06:13 2017
0001,00,Wed Apr 12 15:06:17 2017
0001,00,Wed Apr 12 15:06:21 2017
0000,00,Wed Apr 12 15:06:26 2017
0001,00,Wed Apr 12 15:06:30 2017
0001,00,Wed Apr 12 15:06:34 2017
0000,00,Wed Apr 12 15:06:38 2017
0000,00,Wed Apr 12 15:06:43 2017
0001,00,Wed Apr 12 15:06:47 2017
0000,00,Wed Apr 12 15:06:51 2017
0001,00,Wed Apr 12 15:06:56 2017
0001,00,Wed Apr 12 15:07:00 2017
0001,00,Wed Apr 12 15:07:04 2017
0001,00,Wed Apr 12 15:07:08 2017
0000,00,Wed Apr 12 15:07:13 2017
0000,00,Wed Apr 12 15:07:17 2017
0001,00,Wed Apr 12 15:07:21 2017
0000,00,Wed Apr 12 15:07:25 2017
0000,00,Wed Apr 12 15:07:30 2017
0001,00,Wed Apr 12 15:07:34 2017
0001,00,Wed Apr 12 15:07:38 2017
0001,00,Wed Apr 12 15:07:43 2017
0000,00,Wed Apr 12 15:07:47 2017
0001,00,Wed Apr 12 15:07:51 2017
0001,00,Wed Apr 12 15:07:55 2017
0001,00,Wed Apr 12 15:08:00 2017
0001,00,Wed Apr 12 15:08:04 2017
0001,00,Wed Apr 12 15:08:08 2017
0001,00,Wed Apr 12 15:08:12 2017
0001,00,Wed Apr 12 15:08:17 2017
0000,00,Wed Apr 12 15:08:21 2017
0001,00,Wed Apr 12 15:08:25 2017
0000,00,Wed Apr 12 15:08:29 2017
0001,00,Wed Apr 12 15:08:34 2017
0001,00,Wed Apr 12 15:08:38 2017
0001,00,Wed Apr 12 15:08:42 2017
0000,00,Wed Apr 12 15:08:47 2017
0000,00,Wed Apr 12 15:08:51 2017
0001,00,Wed Apr 12 15:08:55 2017
0001,00,Wed Apr 12 15:08:59 2017
0000,00,Wed Apr 12 15:09:04 2017
0001,00,Wed Apr 12 15:09:08 2017
0000,00,Wed Apr 12 15:09:12 2017
0001,00,Wed Apr 12 15:09:16 2017
0001,00,Wed Apr 12 15:09:21 2017
0000,00,Wed Apr 12 15:09:25 2017
0001,00,Wed Apr 12 15:09:29 2017
0001,00,Wed Apr 12 15:09:33 2017
0001,00,Wed Apr 12 15:09:38 2017
0001,00,Wed Apr 12 15:09:42 2017
0001,00,Wed Apr 12 15:09:46 2017
0001,00,Wed Apr 12 15:09:51 2017
0001,00,Wed Apr 12 15:09:55 2017
0001,00,Wed Apr 12 15:09:59 2017
0000,00,Wed Apr 12 15:10:03 2017
0001,00,Wed Apr 12 15:10:08 2017
0001,00,Wed Apr 12 15:10:12 2017
0000,00,Wed Apr 12 15:10:16 2017
0001,00,Wed Apr 12 15:10:20 2017
0000,00,Wed Apr 12 15:10:25 2017
0001,00,Wed Apr 12 15:10:29 2017
0000,00,Wed Apr 12 15:10:33 2017
0000,00,Wed Apr 12 15:10:37 2017
0001,00,Wed Apr 12 15:10:42 2017
0001,00,Wed Apr 12 15:10:46 2017
0001,00,Wed Apr 12 15:10:50 2017
0001,00,Wed Apr 12 15:10:55 2017
0001,00,Wed Apr 12 15:10:59 2017
0000,00,Wed Apr 12 15:11:03 2017
0000,00,Wed Apr 12 15:11:07 2017
0001,00,Wed Apr 12 15:11:12 2017
0001,00,Wed Apr 12 15:11:16 2017
0000,00,Wed Apr 12 15:11:20 2017
0001,00,Wed Apr 12 15:11:24 2017
0001,00,Wed Apr 12 15:11:29 2017
0000,00,Wed Apr 12 15:11:33 2017
0001,00,Wed Apr 12 15:11:37 2017
0001,00,Wed Apr 12 15:11:41 2017
0001,00,Wed Apr 12 15:11:46 2017
0001,00,Wed Apr 12 15:11:50 2017
0001,00,Wed Apr 12 15:11:54 2017
0001,00,Wed Apr 12 15:11:59 2017
0000,00,Wed Apr 12 15:12:03 2017
0001,00,Wed Apr 12 15:12:07 2017
0000,00,Wed Apr 12 15:12:11 2017
0001,00,Wed Apr 12 15:12:16 2017
0001,00,Wed Apr 12 15:12:20 2017
0001,00,Wed Apr 12 15:12:24 2017
0000,00,Wed Apr 12 15:12:28 2017
0001,00,Wed Apr 12 15:12:33 2017
0000,00,Wed Apr 12 15:12:37 2017
0000,00,Wed Apr 12 15:12:41 2017
0000,00,Wed Apr 12 15:12:45 2017
0001,00,Wed Apr 12 15:12:50 2017
0001,00,Wed Apr 12 15:12:54 2017
0001,00,Wed Apr 12 15:12:58 2017
0001,00,Wed Apr 12 15:13:03 2017
0001,00,Wed Apr 12 15:13:07 2017
0001,00,Wed Apr 12 15:13:11 2017
0000,00,Wed Apr 12 15:13:15 2017
0001,00,Wed Apr 12 15:13:20 2017
0000,00,Wed Apr 12 15:13:24 2017
0000,00,Wed Apr 12 15:13:28 2017
0000,00,Wed Apr 12 15:13:32 2017
0001,00,Wed Apr 12 15:13:37 2017
0000,00,Wed Apr 12 15:13:41 2017
0000,00,Wed Apr 12 15:13:45 2017
0000,00,Wed Apr 12 15:13:49 2017
0001,00,Wed Apr 12 15:13:54 2017
0001,00,Wed Apr 12 15:13:58 2017
0001,00,Wed Apr 12 15:14:02 2017
0001,00,Wed Apr 12 15:14:07 2017
0001,00,Wed Apr 12 15:14:11 2017
0001,00,Wed Apr 12 15:14:15 2017
0000,00,Wed Apr 12 15:14:19 2017
0000,00,Wed Apr 12 15:14:24 2017
0001,00,Wed Apr 12 15:14:28 2017
0001,00,Wed Apr 12 15:14:32 2017
0001,00,Wed Apr 12 15:14:36 2017
0001,00,Wed Apr 12 15:14:41 2017
0000,00,Wed Apr 12 15:14:45 2017
0000,00,Wed Apr 12 15:14:49 2017
0000,00,Wed Apr 12 15:14:53 2017
0001,00,Wed Apr 12 15:14:58 2017
0001,00,Wed Apr 12 15:15:02 2017
0001,00,Wed Apr 12 15:15:06 2017
0001,00,Wed Apr 12 15:15:11 2017
0001,00,Wed Apr 12 15:15:15 2017
0000,00,Wed Apr 12 15:15:19 2017
0001,00,Wed Apr 12 15:15:23 2017
0001,00,Wed Apr 12 15:15:28 2017
0001,00,Wed Apr 12 15:15:32 2017
0001,00,Wed Apr 12 15:15:36 2017
0000,00,Wed Apr 12 15:15:40 2017
0001,00,Wed Apr 12 15:15:45 2017
0001,00,Wed Apr 12 15:15:49 2017
0001,00,Wed Apr 12 15:15:53 2017
0001,00,Wed Apr 12 15:15:57 2017
0001,00,Wed Apr 12 15:16:02 2017
0000,00,Wed Apr 12 15:16:06 2017
0001,00,Wed Apr 12 15:16:10 2017
0001,00,Wed Apr 12 15:16:15 2017
0000,00,Wed Apr 12 15:16:19 2017
0001,00,Wed Apr 12 15:16:23 2017
0000,00,Wed Apr 12 15:16:27 2017
0000,00,Wed Apr 12 15:16:32 2017
0001,00,Wed Apr 12 15:16:36 2017
0001,00,Wed Apr 12 15:16:40 2017
0001,00,Wed Apr 12 15:16:44 2017
0001,00,Wed Apr 12 15:16:49 2017
0001,00,Wed Apr 12 15:16:53 2017
0001,00,Wed Apr 12 15:16:57 2017
0000,00,Wed Apr 12 15:17:01 2017
0001,00,Wed Apr 12 15:17:06 2017
0001,00,Wed Apr 12 15:17:10 2017
0000,00,Wed Apr 12 15:17:14 2017
0001,00,Wed Apr 12 15:17:19 2017
0001,00,Wed Apr 12 15:17:23 2017
0001,00,Wed Apr 12 15:17:27 2017
0001,00,Wed Apr 12 15:17:31 2017
0001,00,Wed Apr 12 15:17:36 2017
0000,00,Wed Apr 12 15:17:40 2017
0001,00,Wed Apr 12 15:17:44 2017
0000,00,Wed Apr 12 15:17:48 2017
0001,00,Wed Apr 12 15:17:53 2017
0000,00,Wed Apr 12 15:17:57 2017
0001,00,Wed Apr 12 15:18:01 2017
0000,00,Wed Apr 12 15:18:05 2017
0000,00,Wed Apr 12 15:18:10 2017
0000,00,Wed Apr 12 15:18:14 2017
0001,00,Wed Apr 12 15:18:18 2017
0001,00,Wed Apr 12 15:18:23 2017
0000,00,Wed Apr 12 15:18:27 2017
0001,00,Wed Apr 12 15:18:31 2017
0000,00,Wed Apr 12 15:18:35 2017
0001,00,Wed Apr 12 15:18:40 2017
0000,00,Wed Apr 12 15:18:44 2017
0001,00,Wed Apr 12 15:18:48 2017
0001,00,Wed Apr 12 15:18:52 2017
0001,00,Wed Apr 12 15:18:57 2017
0000,00,Wed Apr 12 15:19:01 2017
0001,00,Wed Apr 12 15:19:05 2017
0001,00,Wed Apr 12 15:19:09 2017
0001,00,Wed Apr 12 15:19:14 2017
0001,00,Wed Apr 12 15:19:18 2017
0001,00,Wed Apr 12 15:19:22 2017
0001,00,Wed Apr 12 15:19:27 2017
0001,00,Wed Apr 12 15:19:31 2017
0001,00,Wed Apr 12 15:19:35 2017
0000,00,Wed Apr 12 15:19:39 2017
0000,00,Wed Apr 12 15:19:44 2017
0001,00,Wed Apr 12 15:19:48 2017
0001,00,Wed Apr 12 15:19:52 2017
0001,00,Wed Apr 12 15:19:56 2017
0001,00,Wed Apr 12 15:20:01 2017
0001,00,Wed Apr 12 15:20:05 2017
0000,00,Wed Apr 12 15:20:09 2017
0000,00,Wed Apr 12 15:20:13 2017
0001,00,Wed Apr 12 15:20:18 2017
0001,00,Wed Apr 12 15:20:22 2017
0001,00,Wed Apr 12 15:20:26 2017
0001,00,Wed Apr 12 15:20:31 2017
0001,00,Wed Apr 12 15:20:35 2017
0001,00,Wed Apr 12 15:20:39 2017
0000,00,Wed Apr 12 15:20:43 2017
0001,00,Wed Apr 12 15:20:48 2017
0000,00,Wed Apr 12 15:20:52 2017
0000,00,Wed Apr 12 15:20:56 2017
0001,00,Wed Apr 12 15:21:00 2017
0000,00,Wed Apr 12 15:21:05 2017
0001,00,Wed Apr 12 15:21:09 2017
0001,00,Wed Apr 12 15:21:13 2017
0001,00,Wed Apr 12 15:21:17 2017
0001,00,Wed Apr 12 15:21:22 2017
0001,00,Wed Apr 12 15:21:26 2017
0000,00,Wed Apr 12 15:21:30 2017
0000,00,Wed Apr 12 15:21:35 2017
0001,00,Wed Apr 12 15:21:39 2017
0001,00,Wed Apr 12 15:21:43 2017
0001,00,Wed Apr 12 15:21:47 2017
0000,00,Wed Apr 12 15:21:52 2017
0001,00,Wed Apr 12 15:21:56 2017
0000,00,Wed Apr 12 15:22:00 2017
0001,00,Wed Apr 12 15:22:04 2017
0001,00,Wed Apr 12 15:22:09 2017
0001,00,Wed Apr 12 15:22:13 2017
0000,00,Wed Apr 12 15:22:17 2017
0001,00,Wed Apr 12 15:22:21 2017
0000,00,Wed Apr 12 15:22:26 2017
0001,00,Wed Apr 12 15:22:30 2017
0001,00,Wed Apr 12 15:22:34 2017
0001,00,Wed Apr 12 15:22:39 2017
0000,00,Wed Apr 12 15:22:43 2017
0001,00,Wed Apr 12 15:22:47 2017
0001,00,Wed Apr 12 15:22:51 2017
0001,00,Wed Apr 12 15:22:56 2017
0001,00,Wed Apr 12 15:23:00 2017
0001,00,Wed Apr 12 15:23:04 2017
0000,00,Wed Apr 12 15:23:08 2017
0001,00,Wed Apr 12 15:23:13 2017
0001,00,Wed Apr 12 15:23:17 2017
0001,00,Wed Apr 12 15:23:21 2017
0001,00,Wed Apr 12 15:23:25 2017
0001,00,Wed Apr 12 15:23:30 2017
0001,00,Wed Apr 12 15:23:34 2017
0001,00,Wed Apr 12 15:23:38 2017
0001,00,Wed Apr 12 15:23:43 2017
0001,00,Wed Apr 12 15:23:47 2017
0000,00,Wed Apr 12 15:23:51 2017
0001,00,Wed Apr 12 15:23:55 2017
0001,00,Wed Apr 12 15:24:00 2017
0001,00,Wed Apr 12 15:24:04 2017
0000,00,Wed Apr 12 15:24:08 2017
0000,00,Wed Apr 12 15:24:12 2017
0001,00,Wed Apr 12 15:24:17 2017
0000,00,Wed Apr 12 15:24:21 2017
0001,00,Wed Apr 12 15:24:25 2017
0001,00,Wed Apr 12 15:24:29 2017
0001,00,Wed Apr 12 15:24:34 2017
0001,00,Wed Apr 12 15:24:38 2017
0000,00,Wed Apr 12 15:24:42 2017
0001,00,Wed Apr 12 15:24:47 2017
0001,00,Wed Apr 12 15:24:51 2017
0001,00,Wed Apr 12 15:24:55 2017
0001,00,Wed Apr 12 15:24:59 2017
0001,00,Wed Apr 12 15:25:04 2017
0000,00,Wed Apr 12 15:25:08 2017
0001,00,Wed Apr 12 15:25:12 2017
0000,00,Wed Apr 12 15:25:16 2017
0001,00,Wed Apr 12 15:25:21 2017
0000,00,Wed Apr 12 15:25:25 2017
0001,00,Wed Apr 12 15:25:29 2017
